ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab02561		2						P1virus	
ab02562		2						P1virus	P1virus(incomplete)
ab02563		2							
ab02564		-						P1virus	
ab02565		-							
ab02566		2						P1virus	
ab02567		2							
ab02568		499							
ab02569		2						P1virus	
ab02570		2						P1virus	P1virus(incomplete)
ab02571		2						P1virus	
ab02572		2							
ab02573		1091							
ab02574		2						P1virus	
ab02575		2							
ab02576		2						P1virus	P1virus(incomplete)
ab02577		2							
ab02578		2							
ab02579		2						P1virus	P1virus(incomplete)
ab02580		2						P1virus	
ab02581		2						P1virus	
ab02582		78							
ab02583		15							
ab02584		2						P1virus	P1virus(incomplete)
ab02585		2							
ab02586		499							
ab02587		1142							
ab02588		2						P1virus	P1virus(incomplete)
ab02589		499							
ab02590		2						P1virus	P1virus(incomplete)
ab02591		2						P1virus	P1virus(incomplete)
ab02592		2							
ab02593		2						P1virus	P1virus(incomplete)
ab02594		2						P1virus	
ab02595		499							
ab02596		2						P1virus	
ab02597		2						P1virus	
ab02598		2						P1virus	
ab02599		229							
ab02600		2						P1virus	P1virus(incomplete)
ab02601		636						P1virus	P1virus(incomplete)
ab02602		2						P1virus	
ab02603		1091							
ab02604		2						P1virus	P1virus(incomplete)
ab02605		2						P1virus	P1virus(incomplete)
ab02606		2						P1virus	P1virus(incomplete)
ab02607		2						P1virus	P1virus(incomplete)
ab02608		2						P1virus	P1virus(incomplete)
ab02609		2						P1virus	P1virus(incomplete)
ab02610		2						P1virus	
ab02611		2						P1virus	P1virus(incomplete)
ab02612		2						P1virus	
ab02613		2						P1virus	
ab02614		2						P1virus	P1virus(incomplete)
ab02615		2						P1virus	P1virus(incomplete)
ab02616		2						P1virus	
ab02617		2						P1virus	P1virus(incomplete)
ab02618		2						P1virus	P1virus(incomplete)
ab02619		2						P1virus	
ab02620		2							
ab02621		2						P1virus	
ab02622		2						P1virus	P1virus(incomplete)
ab02623		2						P1virus	P1virus(incomplete)
ab02624		2						P1virus	
ab02625		499							
ab02626		2						P1virus	
ab02627		2							
ab02628		2							
ab02629		2							
ab02630		2						P1virus	
ab02631		2						P1virus	
ab02632		499							
ab02633		2						P1virus	
ab02634		2						P1virus	
ab02635		2						P1virus	
ab02636		2						P1virus	
ab02637		2						P1virus	
ab02638		2						P1virus	
ab02639		2						P1virus	
ab02640	I-F	25					I-Fb		
ab02641	I-F	1					I-Fb		
ab02642		2						P1virus	P1virus(incomplete)
ab02643	I-F	422					I-Fa		
ab02644		2						P1virus	P1virus(incomplete)
ab02645		2						P1virus	P1virus(incomplete)
ab02646	I-F	1					I-Fb		
ab02647		2						P1virus	
ab02648		2						P1virus	P1virus(incomplete)
ab02649		2						P1virus	P1virus(incomplete)
ab02650	I-F	25					I-Fb		
ab02651		2							
ab02652		2						P1virus	
ab02653		499							
ab02654		724						P1virus	P1virus(incomplete)
ab02655		2						P1virus	P1virus(incomplete)
ab02656		2							
ab02657		2						P1virus	
ab02658		2							
ab02659		2							
ab02660		3							
ab02661	I-F	1					I-Fb		
ab02662	I-F	25					I-Fb		
ab02663		2							
ab02664		2							
ab02665		2						P1virus	
ab02666		2							
ab02667		2						P1virus	
ab02668		2						P1virus	
ab02669		2						P1virus	
ab02670		2							
ab02671		2						P1virus	
ab02672		2						P1virus	
ab02673		2						P1virus	P1virus(incomplete)
ab02674	I-F	25					I-Fb		
ab02675		-							
ab02676		-							
ab02677		-							
ab02678		-							
ab02679		-							
ab02680		494							
ab02681		-							
ab02682		494							
ab02683		494							
ab02684		-							
ab02685		494							
ab02686		494							
ab02687		2							
ab02688	I-F	1					I-Fb		
ab02689		2						P1virus	
ab02690		2							
ab02691		2							
ab02692		2						P1virus	
ab02693		2						P1virus	P1virus(incomplete)
ab02694		-							
ab02695		-							
ab02696		2						P1virus	
ab02697		499							
ab02698		2							
ab02699		2						P1virus	
ab02700		2						P1virus	
ab02701		1091							
ab02702		2						P1virus	P1virus(incomplete)
ab02703		2						P1virus	
ab02704		2						P1virus	
ab02705		2						P1virus	
ab02706		2						P1virus	
ab02707		-						P1virus	
ab02708		2						P1virus	P1virus(incomplete)
ab02709		2							
ab02710		-							
ab02711		2						P1virus	
ab02712		2						P1virus	
ab02713		-						P1virus	
ab02714		2							
ab02715		2						P1virus	
ab02716		2							
ab02717		2						P1virus	
ab02718		2						P1virus	
ab02719		2						P1virus	
ab02720		2							
ab02721		2							
ab02722		2						P1virus	
ab02723		1091							
ab02724		-							
ab02725		2						P1virus	
ab02726		2						P1virus	
ab02727		2						P1virus	
ab02728		499							
ab02729		406							
ab02730		2							
ab02731		2						P1virus	
ab02732		2						P1virus	
ab02733		2						P1virus	
ab02734		2						P1virus	
ab02735		2							
ab02736		2						P1virus	
ab02737		2						P1virus	
ab02738		499							
ab02739		2						P1virus	
ab02740		2						P1virus	
ab02741		2						P1virus	
ab02742		2						P1virus	
ab02743		2						P1virus	
ab02744		-							
ab02745		2						P1virus	
ab02746		2							
ab02747		78							
ab02748		2							
ab02749		2						P1virus	
ab02750		2						P1virus	
ab02751		2						P1virus	
ab02752		2						P1virus	
ab02753		2						P1virus	
ab02754		2						P1virus	
ab02755		2						P1virus	
ab02756		2						P1virus	
ab02757		2						P1virus	
ab02758		2						P1virus	
ab02759		2						P1virus	
ab02760		2							
ab02761		78							
ab02762		2						P1virus	
ab02763		2							
ab02764		-							
ab02765		2							
ab02766		2						P1virus	
ab02767		2							
ab02768		2						P1virus	
ab02769		2						P1virus	P1virus(incomplete)
ab02770		2						P1virus	P1virus(incomplete)
ab02771	I-F	734					I-Fb		
ab02772		2						P1virus	P1virus(incomplete)
ab02773		499						P1virus	P1virus(incomplete)
ab02774		2						P1virus	P1virus(incomplete)
ab02775		2						P1virus	P1virus(incomplete)
ab02776		2						P1virus	P1virus(incomplete)
ab02777		2						P1virus	P1virus(incomplete)
ab02778		2						P1virus	P1virus(incomplete)
ab02779		2						P1virus	P1virus(incomplete)
ab02780		2						P1virus	P1virus(incomplete)
ab02781		2						P1virus	P1virus(incomplete)
ab02782		2						P1virus	P1virus(incomplete)
ab02783		-						P1virus	P1virus(incomplete)
ab02784		2						P1virus	P1virus(incomplete)
ab02785		2						P1virus	P1virus(incomplete)
ab02786		2						P1virus	P1virus(incomplete)
ab02787		250							
ab02788		2						P1virus	P1virus(incomplete)
ab02789		2						P1virus	P1virus(incomplete)
ab02790		2							
ab02791		2						P1virus	P1virus(incomplete)
ab02792		2						P1virus	P1virus(incomplete)
ab02793		724						P1virus	P1virus(incomplete)
ab02794		2						P1virus	P1virus(incomplete)
ab02795		2						P1virus	P1virus(incomplete)
ab02796		2						P1virus	P1virus(incomplete)
ab02797		2						P1virus	P1virus(incomplete)
ab02798		2						P1virus	P1virus(incomplete)
ab02799		2						P1virus	P1virus(incomplete)
ab02800		2						P1virus	P1virus(incomplete)
ab02801		2						P1virus	P1virus(incomplete)
ab02802		2						P1virus	P1virus(incomplete)
ab02803		2						P1virus	P1virus(incomplete)
ab02804		2						P1virus	P1virus(incomplete)
ab02805		2							
ab02806		2						P1virus	P1virus(incomplete)
ab02807		2						P1virus	P1virus(incomplete)
ab02808		2						P1virus	P1virus(incomplete)
ab02809		2						P1virus	P1virus(incomplete)
ab02810		2						P1virus	P1virus(incomplete)
ab02811		2						P1virus	P1virus(incomplete)
ab02812		2							
ab02813		2						P1virus	P1virus(incomplete)
ab02814		2						P1virus	P1virus(incomplete)
ab02815		2						P1virus	P1virus(incomplete)
ab02816		2						P1virus	
ab02817		2						P1virus	
ab02818		2						P1virus	
ab02819	I-F	25					I-Fb	P1virus	P1virus(incomplete)
ab02820		2							
ab02821	I-F	25					I-Fb		
ab02822		2						P1virus	
ab02823		2						P1virus	P1virus(incomplete)
ab02824		2						P1virus	
ab02825		2							
ab02826		2							
ab02827		2						P1virus	
ab02828		499							
ab02829		2						P1virus	
ab02830		2							
ab02831		2						P1virus	
ab02832		499							
ab02833		2						P1virus	
ab02834		2							
ab02835		499							
ab02836		2							
ab02837		2						P1virus	
ab02838		2						P1virus	
ab02839		2							
ab02840		2							
ab02841		2						P1virus	
ab02842		-							
ab02843		2							
ab02844		2							
ab02845		2						P1virus	
ab02846		1091							
ab02847		499							
ab02848		1091							
ab02849		2						P1virus	
ab02850		2						P1virus	
ab02851		2							
ab02852		2						P1virus	
ab02853		2						P1virus	
ab02854		2						P1virus	
ab02855		2						P1virus	
ab02856		2						P1virus	P1virus(incomplete)
ab02857		2						P1virus	
ab02858		2						P1virus	P1virus(incomplete)
ab02859		2						P1virus	
ab02860		2						P1virus	
ab02861		2						P1virus	
ab02862		2						P1virus	
ab02863		2							
ab02864		2						P1virus	
ab02865		2						P1virus	
ab02866		2						P1virus	
ab02867		2						P1virus	
ab02868		2							
ab02869		2						P1virus	P1virus(incomplete)
ab02870		2							
ab02871		2						P1virus	
ab02872		2						P1virus	
ab02873		2						P1virus	
ab02874		2							
ab02875		2						P1virus	
ab02876		499							
ab02877		2						P1virus	
ab02878		2							
ab02879		2							
ab02880		499							
ab02881		2							
ab02882		2						P1virus	
ab02883		2						P1virus	
ab02884		2							
ab02885		2						P1virus	
ab02886		1091							
ab02887		2							
ab02888		499							
ab02889		2						P1virus	
ab02890		2							
ab02891		2							
ab02892		2							
ab02893		2							
ab02894		2						P1virus	
ab02895		2						P1virus	
ab02896		2							
ab02897		2						P1virus	
ab02898		2						P1virus	
ab02899		1091							
ab02900		2						P1virus	
ab02901		2						P1virus	
ab02902		2							
ab02903		2						P1virus	
ab02904		499							
ab02905		2						P1virus	P1virus(incomplete)
ab02906		2							
ab02907		2							
ab02908		-							
ab02909		-						P1virus	
ab02910		499							
ab02911		2						P1virus	P1virus(incomplete)
ab02912		-							
ab02913		2						P1virus	
ab02914		2						P1virus	
ab02915		2						P1virus	
ab02916		2							
ab02917		2							
ab02918		2						P1virus	
ab02919		2						P1virus	
ab02920		2							
ab02921		2							
ab02922		2						P1virus	
ab02923		2						P1virus	
ab02924		2							
ab02925		1091							
ab02926		2						P1virus	
ab02927		2							
ab02928		499							
ab02929		2						P1virus	
ab02930		2						P1virus	
ab02931		2						P1virus	
ab02932		499							
ab02933		2							
ab02934		2							
ab02935		2						P1virus	
ab02936		2							
ab02937		2							
ab02938		2						P1virus	P1virus(incomplete)
ab02939		2							
ab02940		2						P1virus	
ab02941		2						P1virus	
ab02942		2						P1virus	
ab02943	I-F	79					I-Fa		
ab02944		2							
ab02945		2						P1virus	
ab02946		2							
ab02947		2							
ab02948		-						P1virus	
ab02949		2						P1virus	
ab02950		2						P1virus	
ab02951		2						P1virus	
ab02952		2						P1virus	
ab02953		3							
ab02954		3							
ab02955		2						P1virus	
ab02956		2						P1virus	P1virus(incomplete)
ab02957		3							
ab02958		2						P1virus	
ab02959		3							
ab02960		3							
ab02961		2						P1virus	
ab02962		2						P1virus	P1virus(incomplete)
ab02963		2						P1virus	
ab02964		2						P1virus	P1virus(incomplete)
ab02965		3							
ab02966		2						P1virus	
ab02967		2						P1virus	
ab02968		2						P1virus	P1virus(incomplete)
ab02969		2						P1virus	P1virus(incomplete)
ab02970		3							
ab02971		604						P1virus	
ab02972		2						P1virus	
ab02973		2						P1virus	P1virus(incomplete)
ab02974		2						P1virus	P1virus(incomplete)
ab02975		2						P1virus	
ab02976		604						P1virus	
ab02977		3							
ab02978		2						P1virus	
ab02979		2							
ab02980		2						P1virus	P1virus(incomplete)
ab02981		2							
ab02982		2						P1virus	
ab02983		2							
ab02984		3							
ab02985		2						P1virus	P1virus(incomplete)
ab02986		2						P1virus	P1virus(incomplete)
ab02987		2						P1virus	
ab02988		604						P1virus	P1virus(incomplete)
ab02989		2						P1virus	
ab02990		3							
ab02991		3							
ab02992		2						P1virus	
ab02993		3							
ab02994		2						P1virus	P1virus(incomplete)
ab02995		3							
ab02996		2						P1virus	
ab02997		3							
ab02998		3							
ab02999		604						P1virus	
ab03000		2							
ab03001		3							
ab03002		3							
ab03003	I-F	1853					I-Fb		
ab03004		2							
ab03005		3							
ab03006		3							
ab03007		3							
ab03008		2						P1virus	
ab03009		2						P1virus	
ab03010		3							
ab03011		3							
ab03012		2						P1virus	P1virus(incomplete)
ab03013		3							
ab03014		604						P1virus	
ab03015		3							
ab03016		3							
ab03017		3							
ab03018		3							
ab03019		3							
ab03020		3							
ab03021		2						P1virus	P1virus(incomplete)
ab03022		3							
ab03023		2							
ab03024		3							
ab03025		2						P1virus	
ab03026		604						P1virus	
ab03027		3							
ab03028		604						P1virus	
ab03029		3							
ab03030		604						P1virus	
ab03031		3							
ab03032		3							
ab03033		2						P1virus	
ab03034		3							
ab03035		2							
ab03036		2						P1virus	
ab03037		2						P1virus	
ab03038		2							
ab03039		604						P1virus	P1virus(incomplete)
ab03040		2						P1virus	
ab03041		3							
ab03042		2						P1virus	
ab03043		2						P1virus	
ab03044		3							
ab03045		2						P1virus	
ab03046		2						P1virus	
ab03047		2						P1virus	
ab03048		2						P1virus	
ab03049		2						P1virus	P1virus(incomplete)
ab03050		2						P1virus	
ab03051		3							
ab03052		3							
ab03053		604						P1virus	
ab03054		2						P1virus	
ab03055		2							
ab03056		129						P1virus	P1virus(incomplete)
ab03057		3							
ab03058		78							
ab03059		3							
ab03060		2						P1virus	
ab03061		3							
ab03062		2						P1virus	
ab03063		3							
ab03064		3						P1virus	P1virus(incomplete)
ab03065		2							
ab03066		2							
ab03067		2							
ab03068		2						P1virus	
ab03069		2						P1virus	P1virus(incomplete)
ab03070		2							
ab03071		2						P1virus	P1virus(incomplete)
ab03072		2						P1virus	P1virus(incomplete)
ab03073		2						P1virus	
ab03074		2						P1virus	
ab03075		2						P1virus	P1virus(incomplete)
ab03076		2						P1virus	P1virus(incomplete)
ab03077		2						P1virus	P1virus(incomplete)
ab03078		2							
ab03079		2						P1virus	P1virus(incomplete)
ab03080		2							
ab03081		103							
ab03082		2							
ab03083	I-F	1853					I-Fb		
ab03084		3							
ab03085		3							
ab03086		3							
ab03087		2							
ab03088		3							
ab03089		2							
ab03090		3							
ab03091		-						P1virus	P1virus(incomplete)
ab03092		3							
ab03093		3							
ab03094		2						P1virus	
ab03095		604						P1virus	
ab03096		3							
ab03097		604						P1virus	
ab03098		604						P1virus	P1virus(incomplete)
ab03099		2						P1virus	P1virus(incomplete)
ab03100		604						P1virus	
ab03101		2						P1virus	P1virus(incomplete)
ab03102		3							
ab03103	I-F	1853					I-Fb		
ab03104		3							
ab03105		2						P1virus	
ab03106		3							
ab03107		2						P1virus	
ab03108		2						P1virus	
ab03109		2						P1virus	
ab03110		604						P1virus	
ab03111		2						P1virus	P1virus(incomplete)
ab03112		3							
ab03113		2						P1virus	
ab03114		85							
ab03115		3							
ab03116	I-F	79					I-Fa		
ab03117		3							
ab03118		3							
ab03119		2						P1virus	P1virus(incomplete)
ab03120		2						P1virus	
ab03121		3							
ab03122		2						P1virus	
ab03123		3							
ab03124		2						P1virus	
ab03125		3							
ab03126		3							
ab03127		3							
ab03128		3							
ab03129	I-F	79	incomplete				I-Fa		
ab03130		2						P1virus	
ab03131		600						P1virus	P1virus(incomplete)
ab03132		3							
ab03133		3							
ab03134		3							
ab03135		2						P1virus	
ab03136		600						P1virus	P1virus(incomplete)
ab03137		3							
ab03138		2						P1virus	
ab03139		3							
ab03140		3							
ab03141		3							
ab03142		2						P1virus	
ab03143		2						P1virus	
ab03144		3							
ab03145		3							
ab03146		2						P1virus	
ab03147	I-F	613					I-Fa		
ab03148		3							
ab03149		2							
ab03150		2							
ab03151		2						P1virus	P1virus(incomplete)
ab03152		2						P1virus	
ab03153		2						P1virus	P1virus(incomplete)
ab03154		3							
ab03155		3							
ab03156		2						P1virus	P1virus(incomplete)
ab03157		3							
ab03158		2						P1virus	P1virus(incomplete)
ab03159		2						P1virus	
ab03160		3							
ab03161		3							
ab03162		103							
ab03163		2						P1virus	
ab03164		604						P1virus	
ab03165		2						P1virus	P1virus(incomplete)
ab03166		3							
ab03167		2						P1virus	
ab03168		2						P1virus	
ab03169		3							
ab03170		2						P1virus	
ab03171		2						P1virus	P1virus(incomplete)
ab03172		2						P1virus	
ab03173		2						P1virus	
ab03174		129						P1virus	P1virus(incomplete)
ab03175		2						P1virus	
ab03176		2						P1virus	
ab03177		2						P1virus	
ab03178		2						P1virus	
ab03179		2						P1virus	
ab03180		2						P1virus	
ab03181		2						P1virus	
ab03182		2						P1virus	
ab03183		2						P1virus	
ab03184		2						P1virus	
ab03185		2						P1virus	
ab03186		2						P1virus	
ab03187		2						P1virus	
ab03188		2						P1virus	
ab03189		2						P1virus	
ab03190		2						P1virus	
ab03191		2						P1virus	
ab03192		2						P1virus	
ab03193		2						P1virus	
ab03194	I-F	1					I-Fb	P1virus	
ab03195		2						P1virus	
ab03196		2						P1virus	
ab03197		2						P1virus	
ab03198		2							
ab03199		2							
ab03200		2							
ab03201		2							
ab03202		2							
ab03203		2							
ab03204		2							
ab03205		406							
ab03206		229							
ab03207		229							
ab03208		229							
ab03209		229							
ab03210		499							
ab03211		499							
ab03212		2							
ab03213		2						P1virus	P1virus(incomplete)
ab03214		2						P1virus	P1virus(incomplete)
ab03215		2							
ab03216		2							
ab03217		2							
ab03218		2							
ab03219		2							
ab03220		2							
ab03221		229							
ab03222		2						P1virus	P1virus(incomplete)
ab03223		2						P1virus	P1virus(incomplete)
ab03224		2						P1virus	P1virus(incomplete)
ab03225		2						P1virus	P1virus(incomplete)
ab03226		2						P1virus	
ab03227		2						P1virus	P1virus(incomplete)
ab03228		2						P1virus	P1virus(incomplete)
ab03229		2						P1virus	P1virus(incomplete)
ab03230		2						P1virus	P1virus(incomplete)
ab03231		2							
ab03232		2							
ab03233		2						P1virus	P1virus(incomplete)
ab03234		2						P1virus	P1virus(incomplete)
ab03235		2						P1virus	P1virus(incomplete)
ab03236		2						P1virus	P1virus(incomplete)
ab03237		2							
ab03238		1142							
ab03239		1142							
ab03240		1142							
ab03241		2							
ab03242		2							
ab03243		2							
ab03244		1142							
ab03245		2							
ab03246		2							
ab03247		2						P1virus	
ab03248		2							
ab03249		2							
ab03250		2						P1virus	P1virus(incomplete)
ab03251		2							
ab03252		2						P1virus	
ab03253		2							
ab03254		2							
ab03255		499							
ab03256		2							
ab03257		2							
ab03258		2							
ab03259		-							
ab03260		499							
ab03261		2						P1virus	
ab03262		1357							
ab03263		2						P1virus	
ab03264		2							
ab03265		499							
ab03266		2						P1virus	
ab03267		2						P1virus	
ab03268		499							
ab03269		499							
ab03270		2							
ab03271		2						P1virus	
ab03272		2							
ab03273		2						P1virus	
ab03274		1091							
ab03275		2						P1virus	
ab03276		2							
ab03277		2						P1virus	P1virus(incomplete)
ab03278		2						P1virus	P1virus(incomplete)
ab03279		2						P1virus	P1virus(incomplete)
ab03280		78							
ab03281		2							
ab03282		2							
ab03283		2						P1virus	
ab03284		2							
ab03285		2						P1virus	
ab03286		2							
ab03287		2						P1virus	
ab03288		2						P1virus	
ab03289		2						P1virus	
ab03290		2						P1virus	
ab03291		499							
ab03292		2							
ab03293		2						P1virus	
ab03294		2							
ab03295		2						P1virus	
ab03296		2						P1virus	
ab03297		2						P1virus	P1virus(incomplete)
ab03298		2							
ab03299		2						P1virus	
ab03300		2						P1virus	
ab03301		2						P1virus	
ab03302		499						P1virus	
ab03303		2							
ab03304		2							
ab03305		2							
ab03306		1091							
ab03307		2						P1virus	P1virus(incomplete)
ab03308		2							
ab03309		2							
ab03310		2							
ab03311		2						P1virus	
ab03312		2						P1virus	P1virus(incomplete)
ab03313		2						P1virus	P1virus(incomplete)
ab03314		2						P1virus	P1virus(incomplete)
ab03315		2						P1virus	P1virus(incomplete)
ab03316		2						P1virus	P1virus(incomplete)
ab03317		2						P1virus	P1virus(incomplete)
ab03318		2						P1virus	P1virus(incomplete)
ab03319		2						P1virus	P1virus(incomplete)
ab03320		2						P1virus	P1virus(incomplete)
ab03321		2						P1virus	P1virus(incomplete)
ab03322		499							
ab03323		2						P1virus	P1virus(incomplete)
ab03324		2						P1virus	P1virus(incomplete)
ab03325		2						P1virus	
ab03326		2						P1virus	
ab03327		2						P1virus	P1virus(incomplete)
ab03328		2						P1virus	P1virus(incomplete)
ab03329		2						P1virus	
ab03330		2						P1virus	
ab03331		2						P1virus	P1virus(incomplete)
ab03332		2						P1virus	P1virus(incomplete)
ab03333		2						P1virus	P1virus(incomplete)
ab03334		2						P1virus	P1virus(incomplete)
ab03335		195						P1virus	P1virus(incomplete)
ab03336		2						P1virus	
ab03337		1142							
ab03338		2						P1virus	P1virus(incomplete)
ab03339		2							
ab03340		195						P1virus	P1virus(incomplete)
ab03341		2						P1virus	P1virus(incomplete)
ab03342		499							
ab03343		2						P1virus	
ab03344		2							
ab03345		2						P1virus	
ab03346		2						P1virus	
ab03347		2						P1virus	
ab03348		499							
ab03349		2							
ab03350		2						P1virus	
ab03351		2						P1virus	P1virus(incomplete)
ab03352		2						P1virus	
ab03353		-						P1virus	P1virus(incomplete)
ab03354		2						P1virus	P1virus(incomplete)
ab03355		2							
ab03356		2						P1virus	
ab03357		2						P1virus	
ab03358		2						P1virus	
ab03359		2							
ab03360		2							
ab03361		2						P1virus	
ab03362		2							
ab03363		15							
ab03364		2						P1virus	P1virus(incomplete)
ab03365		2						P1virus	P1virus(incomplete)
ab03366		2						P1virus	
ab03367		2						P1virus	P1virus(incomplete)
ab03368		2						P1virus	P1virus(incomplete)
ab03369		2						P1virus	
ab03370		2						P1virus	P1virus(incomplete)
ab03371		2						P1virus	
ab03372		2						P1virus	
ab03373		2						P1virus	P1virus(incomplete)
ab03374		2						P1virus	P1virus(incomplete)
ab03375	I-F	-	incomplete				I-Fa		
ab03376		406							
ab03377		2						P1virus	
ab03378		2						P1virus	P1virus(incomplete)
ab03379		2						P1virus	
ab03380		2						P1virus	
ab03381		2							
ab03382		2						P1virus	P1virus(incomplete)
ab03383		2						P1virus	P1virus(incomplete)
ab03384		2						P1virus	P1virus(incomplete)
ab03385		2						P1virus	P1virus(incomplete)
ab03386		2						P1virus	
ab03387		2						P1virus	
ab03388		2						P1virus	
ab03389		2						P1virus	P1virus(incomplete)
ab03390		2						P1virus	
ab03391		2							
ab03392		2							
ab03393		499							
ab03394		2							
ab03395		2							
ab03396		2							
ab03397		2						P1virus	
ab03398		2							
ab03399		2						P1virus	
ab03400		2						P1virus	P1virus(incomplete)
ab03401		2						P1virus	
ab03402		2						P1virus	
ab03403		2						P1virus	P1virus(incomplete)
ab03404		2						P1virus	
ab03405		2							
ab03406		2						P1virus	P1virus(incomplete)
ab03407		2						P1virus	
ab03408		499							
ab03409		2							
ab03410		2						P1virus	
ab03411		2						P1virus	
ab03412		2						P1virus	
ab03413		499							
ab03414		-						P1virus	
ab03415		2							
ab03416		2						P1virus	
ab03417		2						P1virus	
ab03418		2							
ab03419		2							
ab03420		2						P1virus	P1virus(incomplete)
ab03421		499							
ab03422		2							
ab03423		2							
ab03424		2						P1virus	
ab03425		499							
ab03426		2						P1virus	P1virus(incomplete)
ab03427		2						P1virus	P1virus(incomplete)
ab03428		2							
ab03429		2							
ab03430		2							
ab03431		499							
ab03432		2						P1virus	
ab03433		2						P1virus	
ab03434		2						P1virus	
ab03435		2						P1virus	
ab03436		2						P1virus	
ab03437		2							
ab03438		499							
ab03439		2						P1virus	
ab03440		2							
ab03441		2						P1virus	
ab03442		2						P1virus	
ab03443		2							
ab03444		2						P1virus	P1virus(incomplete)
ab03445		2							
ab03446		2						P1virus	P1virus(incomplete)
ab03447		2							
ab03448		2						P1virus	P1virus(incomplete)
ab03449		2						P1virus	
ab03450		2						P1virus	P1virus(incomplete)
ab03451		2						P1virus	
ab03452		2						P1virus	
ab03453		2							
ab03454		499							
ab03455		2							
ab03456		2							
ab03457		2						P1virus	
ab03458		2							
ab03459		2						P1virus	
ab03460		2						P1virus	
ab03461		-							
ab03462		499							
ab03463		2						P1virus	
ab03464		2							
ab03465		499							
ab03466		2						P1virus	
ab03467		2						P1virus	
ab03468		2						P1virus	
ab03469		2						P1virus	
ab03470		499						P1virus	
ab03471		2						P1virus	
ab03472		2						P1virus	P1virus(incomplete)
ab03473		2						P1virus	
ab03474		2						P1virus	
ab03475		2						P1virus	P1virus(incomplete)
ab03476		2						P1virus	
ab03477		499							
ab03478		499							
ab03479		2						P1virus	
ab03480		2						P1virus	
ab03481		2							
ab03482		2							
ab03483		2						P1virus	
ab03484		2						P1virus	
ab03485		2							
ab03486		499							
ab03487		499							
ab03488		2						P1virus	P1virus(incomplete)
ab03489		2						P1virus	P1virus(incomplete)
ab03490		499							
ab03491		499							
ab03492		2						P1virus	
ab03493		2						P1virus	
ab03494		2						P1virus	P1virus(incomplete)
ab03495		2						P1virus	
ab03496		2						P1virus	
ab03497		2						P1virus	
ab03498		2						P1virus	
ab03499		2						P1virus	P1virus(incomplete)
ab03500		2						P1virus	P1virus(incomplete)
ab03501		2							
ab03502		2						P1virus	P1virus(incomplete)
ab03503		2						P1virus	P1virus(incomplete)
ab03504		2						P1virus	P1virus(incomplete)
ab03505		2						P1virus	
ab03506		2						P1virus	
ab03507		2						P1virus	
ab03508		2						P1virus	
ab03509		2						P1virus	
ab03510		2						P1virus	
ab03511		2						P1virus	
ab03512		2						P1virus	
ab03513		2						P1virus	P1virus(incomplete)
ab03514		2						P1virus	
ab03515		2						P1virus	
ab03516		499							
ab03517		2						P1virus	
ab03518		2							
ab03519		2							
ab03520		2						P1virus	
ab03521		2						P1virus	
ab03522		2						P1virus	P1virus(incomplete)
ab03523		2						P1virus	
ab03524		2						P1virus	
ab03525		2							
ab03526		1091							
ab03527		2						P1virus	
ab03528		2						P1virus	
ab03529		2						P1virus	
ab03530		2						P1virus	
ab03531		2						P1virus	
ab03532		85		arrays	anycas	ambiguous			
ab03533		2							
ab03534		2							
ab03535		570						P1virus	P1virus(incomplete)
ab03536		164							
ab03537	I-F	19					I-Fb		
ab03538	I-F	19	incomplete				I-Fb		
ab03539		113		arrays	anycas	ambiguous			
ab03540		2						P1virus	P1virus(incomplete)
ab03541		85							
ab03542		2						P1virus	P1virus(incomplete)
ab03543		2						P1virus	P1virus(incomplete)
ab03544	I-F	113	incomplete				I-Fb		
ab03545		85							
ab03546		2							
ab03547	I-F	448					I-Fb		
ab03548		2							
ab03549	I-F	1					I-Fb		
ab03551	I-F	1					I-Fb		
ab03552	I-F	1					I-Fb		
ab03553	I-F	52					I-Fa		
ab03554	I-F	81					I-Fb	P1virus	P1virus(incomplete)
ab03555	I-F	81					I-Fb	P1virus	
ab03556		2							
ab03557		49			anycas	ambiguous			
ab03558	I-F	1	incomplete				I-Fb		
ab03559	I-F	20					I-Fb		
ab03560	I-F	1					I-Fb		
ab03561		2							
ab03562		16							
ab03563		2							
ab03565		267							
ab03566		2							
ab03567		2							
ab03568		2						P1virus	
ab03569		2							
ab03570		78							
ab03571		3							
ab03572		32							
ab03573		-						P1virus	P1virus(incomplete)
ab03574		2							
ab03575		415							
ab03576		2						P1virus	P1virus(incomplete)
ab03578		2						P1virus	P1virus(incomplete)
ab03579	I-F	25					I-Fb		
ab03580		2						P1virus	P1virus(incomplete)
ab03582		2						P1virus	P1virus(incomplete)
ab03583		2							
ab03584		3							
ab03585		3							
ab03586	I-F	25					I-Fb		
ab03587		2							
ab03588		3							
ab03589	I-F	1					I-Fb		
ab03590	I-F	218					I-Fa		
ab03591		414							
ab03592		136							
ab03593		513							
ab03594	I-F	1					I-Fb		
ab03595		2							
ab03596		419							
ab03597		2							
ab03598		2						P1virus	P1virus(incomplete)
ab03599		2						P1virus	P1virus(incomplete)
ab03600		2		arrays		ambiguous		P1virus	
ab03601	I-F	417					I-Fa		
ab03602		2		arrays		ambiguous		P1virus	P1virus(incomplete)
ab03603	I-F	113					I-Fb		
